"|","|__cantidad","|__fecha","|__pago","|__precio","|__variedad"
"-LWmAxHitDAM-3U2g60I","1","","50","50","Rabanito (PAQ)"
"","2","","100","50","Brocoli (Unidad)"
"","0.5","","35","70","Ciruela (Kg)"
"-LWmI25qpX22DStotGnd","4","21-1-2019","164","41","Tomate (Kg)"
"","4","21-1-2019","164","41","Acelga (PAQ)"
"","5","21-1-2019","205","41","Zanahoria (PAQ)"
"","5","21-1-2019","205","41","Remolacha (PAQ)"
"","8","21-1-2019","328","41","Rucula (PAQ)"
"","5","21-1-2019","205","41","Papa (Kg)"
"","3","21-1-2019","123","41","Choclo x 3"
"","6","21-1-2019","246","41","Morron (Kg)"
"","5","21-1-2019","205","41","Perejil (Kg)"
"","7","21-1-2019","287","41","Aji Vinagre (1/2 Kg)"
"","7","21-1-2019","287","41","Nabo (Kg)"
"","7","21-1-2019","287","41","Repollo (Unidad)"
"","3","21-1-2019","123","41","Zapallito (Kg)"
"","1","21-1-2019","41","41","Zuchinni (Kg)"
"","1","21-1-2019","41","41","Pack Choi (PAQ)"
"","1","21-1-2019","41","41","Pepino (Kg)"
"","1.5","21-1-2019","61.5","41","Verdeo (PAQ)"
"","2.5","21-1-2019","102.5","41","Puerro (PAQ)"
"","3.3","21-1-2019","135.29999999999998","41","Anco (Unidad)"
"","3.1","21-1-2019","127.10000000000001","41","Kale (PAQ)"
"","9","21-1-2019","369","41","Lima (1/2 Kg)"
"","1","21-1-2019","41","41","Rabanito (PAQ)"
"","1","21-1-2019","41","41","Brocoli (Unidad)"
"","1","21-1-2019","41","41","Lechuga (1/2kg)"
"","1","21-1-2019","41","41","Hinojo (Kg)"
"","0.1","21-1-2019","7","70","Banana (Kg)"
"","0.2","21-1-2019","14","70","Ciruela (Kg)"
"","0.3","21-1-2019","34.5","115","Uva (Kg)"
"","0.4","21-1-2019","28","70","Melon (Kg)"
"","0.5","21-1-2019","35","70","Durazno (Kg)"
